area_sqft,bedrooms,floor_level,locality_score,rental_price
1867.5,5,5,12.2,72111.72
4496.9,5,9,12.0,91687.45
2225.0,4,16,10.3,59413.1
5994.2,4,1,13.8,93431.15
2756.2,3,2,6.4,46166.99
4914.0,1,5,16.3,76887.92
2680.9,3,3,12.0,68260.28
5349.3,4,18,12.1,73942.98
4129.2,4,18,12.4,76453.06
2485.7,2,16,11.2,50178.35
2969.4,2,7,17.6,73923.18
4054.6,3,4,9.2,71381.57
2478.5,2,14,14.9,69051.98
3271.6,5,9,10.3,76914.1
2591.5,5,9,15.7,75776.13
3405.9,2,9,15.6,66208.73
4240.0,2,9,20.0,97353.51
2566.6,4,1,13.8,73383.58
3851.8,2,4,17.4,86808.06
3886.4,4,6,19.5,85827.69
