area_sqft,bedrooms,floor_level,locality_score,rental_price
521.7,1,1,3.9,22371.39
1492.6,3,7,8.7,58481.0
1034.9,1,11,3.3,26817.84
1657.1,2,15,5.6,26918.98
2241.8,2,4,4.4,41467.26
1962.1,3,1,7.9,49909.41
2279.5,1,18,8.7,34193.44
1878.0,4,1,9.8,66955.03
2163.9,5,10,9.2,64778.1
2662.7,1,7,9.5,54542.42
2884.9,3,1,4.1,52758.16
1963.0,2,16,8.7,53218.81
1766.9,5,8,1.3,43379.71
2735.0,4,14,6.6,39858.07
691.7,1,1,9.1,50519.59
1395.0,3,1,2.2,29966.82
1603.9,2,7,2.4,26888.89
2321.6,4,1,3.7,46012.96
2501.4,5,8,9.3,73531.51
998.6,3,16,6.9,30796.92
1213.0,1,8,7.6,36786.32
1488.6,1,5,9.4,49577.0
2898.1,4,3,8.5,74927.75
2125.2,2,19,6.6,40491.84
1391.9,4,15,2.5,29977.46
